Car Name,Location,Company Name,Make,Model,Color,Price,Manufacture Year,Link
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 Black,"Lagos, Oshodi",Winmark Auto,Mercedes-Benz,GLE-Class,,"₦ 37,050,000",2017,https://jiji.ng/oshodi/cars/mercedes-benz-gle-class-gle-350d-4matic-2017-black-mtZwL0C1hsWatU4q0r5r6skJ.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=0
Mercedes-Benz M Class ML 350 4Matic 2012 White,"Lagos, Oshodi",Winmark Auto,Mercedes-Benz,M Class,,"₦ 29,000,000",2012,https://jiji.ng/oshodi/cars/mercedes-benz-m-class-ml-350-4matic-2012-white-dL51WN4Zwl164Ax90X8B0nps.html?page=1&pos=2&cur_pos=2&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=1
Mercedes-Benz C300 2009 Gray,"Abuja, Kubwa",Lawal Ibrahim,Mercedes-Benz,C300,,"₦ 10,000,000",2009,https://jiji.ng/kubwa/cars/mercedes-benz-c300-2009-gray-fJJpsY2EZy3qoQCprhHfsawW.html?page=1&pos=3&cur_pos=3&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=2
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 White,"Enugu, Enugu / Enugu State",Okams Nig Ltd,Mercedes-Benz,GLE-Class,,"₦ 37,000,000",2016,https://jiji.ng/enugu-north/cars/mercedes-benz-gle-class-gle-350d-4matic-2016-white-cr69sJBfAkvkjzK5WWOBWWHL.html?page=1&pos=4&cur_pos=4&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=3
Mercedes-Benz GL-Class GL 550 2009 Black,"Lagos, Isolo",Sahbjams Autos,Mercedes-Benz,GL-Class,,"₦ 11,500,000",2009,https://jiji.ng/isolo/cars/mercedes-benz-gl-class-gl-550-2009-black-x5j93EQekBMXp2tNPx3kVZZ2.html?page=1&pos=5&cur_pos=5&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=4
Mercedes-Benz GLC-Class 2019 White,"Lagos, Amuwo-Odofin",flawless autos,Mercedes-Benz,GLC-Class,White,"₦ 36,500,000",2019,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-glc-class-2019-white-oBU0Dgp0Oi30hURgBJcbB6XK.html?page=1&pos=6&cur_pos=6&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=5
Mercedes-Benz M Class 2015 Black,"Lagos, Amuwo-Odofin",Rambo Autoz,Mercedes-Benz,M Class,Black,"₦ 24,200,000",2015,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-m-class-2015-black-yWwoHW5Dbl5Q6YQFr7LPnOfO.html?page=1&pos=7&cur_pos=7&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=6
Mercedes-Benz GLE-Class GLE 350 2017 White,"Lagos, Surulere",Olaniyi Sobande,Mercedes-Benz,GLE-Class,White,"₦ 45,000,000",2017,https://jiji.ng/surulere/cars/mercedes-benz-gle-class-gle-350-2017-white-hRvK23AF2q5e8AVqOFtWJOgb.html?page=1&pos=8&cur_pos=8&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=7
Mercedes-Benz E350 2011 White,"Lagos, Amuwo-Odofin",BIG M AUTOS,Mercedes-Benz,E350,White,"₦ 10,200,000",2011,https://jiji.ng/amuwo-odofin/cars/mercedes-benz-e350-2011-white-zWPRPTNRDStE8kgaSEch8Alv.html?page=1&pos=9&cur_pos=9&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=8
Mercedes-Benz C300 2009 Gray,"Abuja, Gwarinpa",Ekata A,Mercedes-Benz,C300,Gray,"₦ 6,950,000",2009,https://jiji.ng/gwarinpa/cars/mercedes-benz-c300-2009-gray-3KzPehHcEIHBpoTWHelIHBXO.html?page=1&pos=10&cur_pos=10&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=9
Mercedes-Benz C300 2015 Black,"Lagos, Ikeja",Juliet Autos,Mercedes-Benz,C300,Black,"₦ 14,680,000",2015,https://jiji.ng/ikeja/cars/mercedes-benz-c300-2015-black-pOWowtgZopyZX7qRrnVFFj3E.html?page=1&pos=11&cur_pos=11&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=10
Mercedes-Benz GLK-Class 350 4MATIC 2014 Black,"Lagos, Ikeja",Kazzy Alison,Mercedes-Benz,GLK-Class,,"₦ 23,500,000",2014,https://jiji.ng/ikeja/cars/mercedes-benz-glk-class-350-4matic-2014-black-3pgfqfMvOWKuSh5Fbr8dRMDp.html?page=1&pos=12&cur_pos=12&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=11
Mercedes-Benz M Class 2014 Black,"Lagos, Surulere",Tonex Automobiles Merchandise,Mercedes-Benz,M Class,,"₦ 28,500,000",2014,https://jiji.ng/surulere/cars/mercedes-benz-m-class-2014-black-BGEUI9O0Sgeh8kPzWVNkBquQ.html?page=1&pos=13&cur_pos=13&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=12
Mercedes-Benz GLE-Class GLE 350 2022 White,"Lagos, Ikeja",Ardo Cars,Mercedes-Benz,GLE-Class,,"₦ 120,000,000",2022,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-gle-350-2022-white-7Tgu6Lg1PUiY9l8EqBZE4HXY.html?page=1&pos=14&cur_pos=14&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=13
Mercedes-Benz E300 2017 White,"Lagos, Lekki",Bizzle-Cars,Mercedes-Benz,E300,,"₦ 36,500,000",2017,https://jiji.ng/lekki/cars/mercedes-benz-e300-2017-white-grwKn33cRUt9UU8YyBd1v8ff.html?page=1&pos=15&cur_pos=15&ads_per_page=22&ads_count=16428&lid=8Lw87FQtEwaH3qQJ&indexPosition=14
